Age,Gender,Occupation,Daily_AI_Usage_Hours,AI_Usage_Purpose,Specialization,AI_Tools_Used,AI_Usage_Frequency,AI_Skill_Level,Device_Used,Data_Privacy_Concern,AI_Trust_Level,Location,Education_Level,Language_Preference,Internet_Speed,AI_Usage_Change_in_6_Months,AI_Affect_on_Productivity,Uses_Paid_AI_Tools,Satisfaction_Level,Can_Live_Without_AI,Task_Complexity,Time_to_Respond_Seconds,Performance (%)
55,Female,Unemployed,1,Daily Life,Computer Science,ChatGPT,Often,Advanced,Laptop,High,Low,Rural,,Spanish,Medium,Decreased,Positive,Yes,8,No,1,21,85
38,Female,Doctor,4,Shopping,Art,ChatGPT,Often,Intermediate,Desktop,Medium,High,Urban,Bachelor,French,Medium,Increased,Negative,Yes,3,Yes,3,59,80
21,Female,Unemployed,4,Health,Computer Science,Midjourney,Rarely,Intermediate,Laptop,Low,High,Rural,High School,Arabic,Medium,Increased,Neutral,No,1,Yes,2,42,70
22,Female,Engineer,10,Work,Business,Copilot,Rarely,Intermediate,Desktop,Medium,High,Urban,Bachelor,Arabic,Medium,Same,Negative,No,1,Yes,3,89,60
28,Male,Teacher,0,Study,Medicine,ChatGPT,Daily,Intermediate,Mobile,Low,Low,Suburban,Master,English,Medium,Increased,Positive,Yes,8,No,2,49,70
55,Female,Researcher,11,Study,Engineering,Notion AI,Sometimes,Intermediate,Desktop,High,Moderate,Urban,Bachelor,French,Medium,Increased,Negative,No,5,Yes,2,25,85
43,Female,Freelancer,10,Entertainment,Engineering,Copilot,Sometimes,Beginner,Tablet,Medium,Low,Rural,Master,Spanish,Fast,Same,Negative,Yes,9,No,2,32,70
60,Female,Researcher,2,Shopping,Engineering,Copilot,Rarely,Intermediate,Desktop,Medium,Low,Rural,Bachelor,Spanish,Medium,Increased,Positive,No,3,Yes,2,33,70
60,Male,Designer,7,Health,Computer Science,Midjourney,Sometimes,Advanced,Laptop,Low,Moderate,Suburban,High School,Spanish,Medium,Same,Positive,No,7,No,3,44,80
46,Male,Student,12,Entertainment,Medicine,ChatGPT,Rarely,Intermediate,Laptop,Medium,Moderate,Rural,High School,French,Fast,Increased,Neutral,No,10,No,2,34,70
22,Male,Unemployed,7,Daily Life,Engineering,Notion AI,Sometimes,Beginner,Desktop,High,High,Rural,PhD,Arabic,Fast,Decreased,Neutral,Yes,6,No,1,10,85
63,Male,Doctor,12,Work,Medicine,ChatGPT,Sometimes,Beginner,Laptop,High,Low,Suburban,High School,French,Slow,Same,Positive,No,7,No,3,57,80
37,Male,Engineer,11,Daily Life,Art,Bard,Rarely,Beginner,Tablet,Low,Low,Suburban,PhD,English,Fast,Decreased,Neutral,No,8,No,2,37,70
37,Female,Student,11,Entertainment,Business,Copilot,Daily,Advanced,Laptop,Medium,Moderate,Rural,High School,Spanish,Medium,Increased,Positive,No,5,Yes,2,25,85
53,Female,Freelancer,11,Entertainment,Art,ChatGPT,Daily,Intermediate,Mobile,High,High,Suburban,Bachelor,Spanish,Slow,Same,Neutral,No,2,Yes,2,22,85
48,Male,Teacher,0,Work,Engineering,ChatGPT,Often,Intermediate,Tablet,Medium,High,Rural,PhD,French,Slow,Same,Negative,No,4,Yes,2,48,70
20,Female,Unemployed,11,Shopping,Art,Bard,Rarely,Beginner,Desktop,High,Moderate,Urban,Bachelor,Arabic,Slow,Increased,Negative,No,8,No,2,28,85
47,Female,Doctor,2,Study,Law,Copilot,Rarely,Intermediate,Laptop,Medium,Low,Rural,Master,Spanish,Slow,Same,Neutral,No,4,Yes,3,88,60
48,Female,Doctor,6,Shopping,Medicine,Bard,Daily,Intermediate,Mobile,Medium,High,Urban,Bachelor,Arabic,Slow,Same,Positive,Yes,3,Yes,3,40,80
27,Female,Engineer,7,Entertainment,Computer Science,Bard,Daily,Advanced,Laptop,High,High,Urban,Master,English,Slow,Same,Negative,No,9,No,3,65,60
63,Male,Student,1,Work,Medicine,Notion AI,Sometimes,Advanced,Tablet,High,High,Urban,High School,English,Medium,Same,Negative,Yes,7,No,2,44,70
43,Male,Freelancer,8,Entertainment,Computer Science,ChatGPT,Often,Advanced,Mobile,Low,High,Suburban,High School,French,Fast,Increased,Negative,Yes,3,Yes,2,33,70
57,Male,Freelancer,1,Entertainment,Law,Other,Rarely,Advanced,Tablet,High,Moderate,Rural,Bachelor,French,Slow,Increased,Negative,Yes,3,Yes,2,26,85
29,Female,Designer,9,Entertainment,Law,Midjourney,Sometimes,Advanced,Mobile,Low,Moderate,Suburban,Master,French,Medium,Increased,Negative,No,1,Yes,2,27,85
52,Female,Researcher,8,Shopping,Business,Other,Sometimes,Advanced,Tablet,High,Low,Rural,Master,English,Fast,Increased,Negative,Yes,4,Yes,2,33,70
59,Female,Engineer,4,Entertainment,Medicine,Other,Rarely,Beginner,Desktop,High,High,Urban,Bachelor,Arabic,Fast,Same,Negative,Yes,8,No,3,87,60
32,Female,Unemployed,3,Daily Life,Law,Bard,Often,Advanced,Desktop,High,Low,Urban,Bachelor,French,Fast,Same,Negative,Yes,7,No,1,14,85
102,Female,Designer,9,Work,Art,Midjourney,Often,Beginner,Laptop,Medium,High,Suburban,Bachelor,English,Slow,Same,Negative,No,8,No,2,40,70
24,Male,Teacher,3,Health,Business,Midjourney,Sometimes,Beginner,Desktop,High,Low,Suburban,Master,Spanish,Slow,Same,Neutral,Yes,10,No,3,86,60
59,Male,Unemployed,12,Entertainment,Computer Science,Bard,Often,Beginner,Desktop,Low,High,Urban,Bachelor,Spanish,Fast,Decreased,Negative,No,1,Yes,2,38,70
36,Female,Unemployed,10,Health,Engineering,Midjourney,Sometimes,Beginner,Tablet,Medium,Low,Rural,High School,French,Slow,Increased,Negative,Yes,9,No,2,34,70
29,Male,Teacher,4,Daily Life,Engineering,Copilot,Daily,Beginner,Tablet,Medium,High,Suburban,Bachelor,English,Fast,Same,Negative,No,7,No,2,35,70
34,Male,Engineer,7,Entertainment,Business,Bard,Often,Advanced,Desktop,High,High,Suburban,Master,Arabic,Medium,Increased,Neutral,Yes,9,No,3,45,80
20,Female,Teacher,5,Work,Medicine,Midjourney,Daily,Beginner,Tablet,High,Moderate,Suburban,High School,English,Fast,Increased,Neutral,Yes,3,Yes,2,24,85
62,Male,Freelancer,8,Study,Business,Midjourney,Sometimes,Intermediate,Desktop,High,Moderate,Suburban,High School,Spanish,Slow,Increased,Neutral,Yes,6,No,2,46,70
59,Male,Engineer,0,Entertainment,Business,Other,Sometimes,Advanced,Laptop,Low,Moderate,Urban,Master,Arabic,Fast,Increased,Positive,Yes,10,No,3,47,80
62,Male,Unemployed,12,Daily Life,Medicine,Notion AI,Daily,Intermediate,Laptop,Medium,High,Suburban,High School,English,Fast,Decreased,Positive,No,2,Yes,1,20,85
61,Female,Teacher,2,Study,Law,Other,Daily,Advanced,Laptop,High,High,Suburban,PhD,Arabic,Fast,Same,Neutral,No,5,Yes,2,39,70
40,Female,Researcher,7,Work,Medicine,Bard,Daily,Advanced,Tablet,Low,Low,Rural,PhD,French,Fast,Same,Positive,No,9,No,2,50,70
18,Male,Doctor,12,Health,Business,Notion AI,Often,Beginner,Mobile,High,Moderate,Suburban,Master,French,Slow,Decreased,Positive,Yes,8,No,4,117,50
28,Female,Doctor,10,Study,Art,ChatGPT,Daily,Advanced,Tablet,Medium,Moderate,Urban,Bachelor,Arabic,Slow,Decreased,Negative,No,1,Yes,3,66,60
53,Female,Freelancer,1,Entertainment,Art,Midjourney,Daily,Intermediate,Mobile,High,High,Suburban,High School,French,Fast,Increased,Positive,No,8,No,2,42,70
125,Female,Unemployed,8,Health,Medicine,Midjourney,Rarely,Advanced,Mobile,Low,High,Rural,Bachelor,Spanish,Fast,Increased,Positive,No,4,Yes,2,39,70
21,Male,Designer,4,Work,Education,Notion AI,Sometimes,Intermediate,Laptop,Medium,Low,Urban,Bachelor,Arabic,Slow,Increased,Neutral,No,4,Yes,2,28,85
46,Female,Freelancer,9,Shopping,Business,Midjourney,Rarely,Advanced,Desktop,Medium,Low,Suburban,Bachelor,Arabic,Slow,Increased,Positive,Yes,9,No,2,42,70
47,Female,Doctor,6,Health,Business,Copilot,Sometimes,Beginner,Desktop,High,Low,Rural,Master,Arabic,Slow,Increased,Neutral,Yes,9,No,4,76,70
55,Female,Engineer,11,Entertainment,Business,Bard,Sometimes,Intermediate,Mobile,High,Moderate,Suburban,PhD,English,Slow,Increased,Positive,No,6,No,3,73,60
49,Female,Freelancer,10,Entertainment,Law,ChatGPT,Daily,Beginner,Tablet,Low,Moderate,Suburban,Bachelor,French,Fast,Increased,Neutral,No,8,No,2,23,85
61,Male,Designer,0,Daily Life,Computer Science,ChatGPT,Often,Beginner,Tablet,High,Moderate,Suburban,Master,English,Fast,Increased,Negative,No,3,Yes,2,35,70
51,Male,Student,5,Entertainment,Art,Copilot,Often,Intermediate,Desktop,Medium,Low,Suburban,Master,Arabic,Medium,Increased,Neutral,Yes,7,No,2,30,85
27,Female,Designer,3,Shopping,Art,Midjourney,Sometimes,Advanced,Mobile,Low,High,Rural,Bachelor,Spanish,Medium,Increased,Negative,No,2,Yes,2,30,85
58,Female,Unemployed,1,Entertainment,Education,ChatGPT,Often,Beginner,Tablet,Medium,Moderate,Rural,Bachelor,Arabic,Slow,Increased,Positive,Yes,2,Yes,2,21,85
22,Female,Researcher,0,Health,Business,Notion AI,Sometimes,Advanced,Tablet,Low,Moderate,Suburban,Bachelor,Arabic,Fast,Same,Positive,Yes,1,Yes,3,67,60
33,Female,Engineer,3,Daily Life,Business,Midjourney,Daily,Intermediate,Tablet,Low,Low,Urban,Master,English,Slow,Decreased,Neutral,Yes,10,No,2,20,85
56,Male,Designer,6,Health,Business,Midjourney,Rarely,Advanced,Laptop,High,Low,Rural,Master,French,Fast,Same,Positive,No,10,No,3,50,80
54,Female,Unemployed,3,Entertainment,Medicine,Bard,Sometimes,Intermediate,Laptop,Medium,Moderate,Rural,Bachelor,English,Slow,Increased,Negative,No,5,Yes,2,38,70
40,Male,Unemployed,4,Study,Computer Science,Other,Rarely,Intermediate,Desktop,Low,Moderate,Rural,Master,Spanish,Fast,Increased,Neutral,No,5,Yes,2,22,85
28,Male,Designer,4,Study,Engineering,ChatGPT,Rarely,Beginner,Tablet,Low,Low,Rural,Bachelor,French,Medium,Same,Negative,No,8,No,2,32,70
42,Male,Student,1,Shopping,Education,Copilot,Often,Intermediate,Laptop,High,High,Rural,High School,Spanish,Fast,Same,Negative,No,7,No,2,21,85
21,Male,Designer,11,Daily Life,Education,Bard,Sometimes,Advanced,Laptop,Low,Moderate,Urban,Bachelor,Spanish,Medium,Increased,Neutral,Yes,10,No,2,45,70
24,Male,Doctor,10,Entertainment,Medicine,Copilot,Rarely,Beginner,Mobile,Low,Low,Urban,Bachelor,French,Fast,Same,Neutral,Yes,2,Yes,3,65,60
40,Male,Teacher,4,Work,Computer Science,Bard,Rarely,Advanced,Desktop,High,Moderate,Urban,Master,English,Slow,Increased,Negative,No,8,No,2,27,85
46,Male,Unemployed,7,Work,Art,Midjourney,Sometimes,Beginner,Laptop,Medium,High,Rural,Bachelor,French,Slow,Decreased,Positive,No,9,No,2,39,70
53,Male,Engineer,1,Entertainment,Art,Bard,Daily,Advanced,Laptop,Medium,High,Suburban,PhD,Arabic,Fast,Increased,Positive,No,1,Yes,3,44,80
40,Male,Freelancer,0,Shopping,Law,ChatGPT,Daily,Beginner,Desktop,Medium,Low,Suburban,Bachelor,English,Slow,Increased,Negative,Yes,8,No,2,38,70
20,Male,Unemployed,11,Study,Education,ChatGPT,Often,Advanced,Tablet,Low,Moderate,Rural,Master,French,Medium,Same,Positive,No,10,No,2,35,70
59,Female,Teacher,6,Entertainment,Art,Copilot,Sometimes,Advanced,Desktop,High,High,Rural,Bachelor,English,Slow,Decreased,Neutral,Yes,4,Yes,2,30,85
56,Female,Designer,4,Daily Life,Law,Other,Often,Advanced,Laptop,Medium,High,Suburban,Bachelor,French,Fast,Decreased,Positive,Yes,7,No,2,46,70
59,Female,Engineer,2,Entertainment,Medicine,Bard,Often,Intermediate,Mobile,Low,High,Urban,PhD,Arabic,Slow,Increased,Neutral,Yes,4,Yes,3,53,80
40,Female,Researcher,4,Shopping,Engineering,Other,Sometimes,Intermediate,Laptop,Medium,Moderate,Urban,PhD,English,Fast,Increased,Neutral,Yes,5,Yes,2,49,70
55,Male,Teacher,8,Work,Business,Bard,Often,Advanced,Tablet,Medium,Low,Suburban,Master,French,Medium,Same,Negative,No,7,No,2,27,85
20,Male,Unemployed,12,Work,Business,Bard,Often,Intermediate,Laptop,High,Low,Urban,Master,English,Medium,Decreased,Neutral,No,6,No,2,21,85
49,Female,Student,6,Daily Life,Medicine,Copilot,Daily,Intermediate,Desktop,Medium,Low,Rural,High School,Spanish,Slow,Same,Positive,No,5,Yes,1,27,85
39,Male,Researcher,8,Study,Art,Other,Daily,Advanced,Desktop,High,High,Urban,Bachelor,French,Fast,Decreased,Positive,Yes,6,No,2,35,70
49,Male,Designer,9,Study,Business,Copilot,Rarely,Beginner,Tablet,Low,High,Rural,Bachelor,Spanish,Medium,Decreased,Negative,No,5,Yes,2,37,70
54,Male,Researcher,6,Daily Life,Law,Notion AI,Rarely,Advanced,Laptop,Low,High,Suburban,Bachelor,Spanish,Medium,Decreased,Neutral,No,6,No,2,22,85
39,Male,Doctor,10,Health,Computer Science,ChatGPT,Rarely,Intermediate,Tablet,Low,Low,Suburban,Master,Spanish,Slow,Same,Positive,No,3,Yes,4,79,70
57,Male,Researcher,9,Entertainment,Business,Other,Daily,Intermediate,Mobile,High,High,Suburban,High School,Arabic,Fast,Increased,Negative,No,4,Yes,2,37,70
34,Female,Researcher,8,Work,Education,Bard,Rarely,Beginner,Desktop,Low,High,Suburban,High School,French,Slow,Increased,Negative,Yes,7,No,2,50,70
34,Female,Doctor,7,Health,Art,ChatGPT,Often,Beginner,Laptop,Low,Moderate,Urban,PhD,English,Fast,Same,Negative,Yes,5,Yes,4,84,70
55,Male,Unemployed,0,Study,Medicine,Bard,Daily,Beginner,Desktop,Low,Moderate,Rural,High School,Arabic,Slow,Increased,Positive,No,6,No,2,48,70
61,Male,Freelancer,9,Daily Life,Medicine,ChatGPT,Sometimes,Beginner,Mobile,High,Low,Rural,PhD,French,Slow,Decreased,Neutral,No,6,No,2,50,70
63,Female,Unemployed,1,Work,Education,Bard,Sometimes,Intermediate,Laptop,High,Moderate,Suburban,High School,Spanish,Medium,Increased,Neutral,No,1,Yes,2,20,85
32,Male,Doctor,5,Entertainment,Art,ChatGPT,Often,Beginner,Laptop,Low,High,Suburban,Bachelor,Arabic,Slow,Same,Positive,Yes,2,Yes,3,71,60
31,Male,Freelancer,6,Shopping,Medicine,Midjourney,Sometimes,Intermediate,Tablet,Medium,Moderate,Urban,,English,Medium,Increased,Positive,No,7,No,2,21,85
28,Male,Researcher,11,Entertainment,Law,Copilot,Sometimes,Intermediate,Tablet,Low,Low,Rural,PhD,English,Fast,Increased,Negative,No,5,Yes,2,48,70
21,Female,Freelancer,0,Study,Medicine,Other,Daily,Beginner,Desktop,Low,Low,Rural,PhD,Arabic,Slow,Same,Negative,Yes,6,No,2,30,85
40,Female,Unemployed,8,Daily Life,Education,Other,Often,Intermediate,Mobile,Low,Low,Suburban,PhD,French,Fast,Increased,Neutral,No,1,Yes,1,29,85
23,Female,Freelancer,1,Work,Business,Other,Often,Intermediate,Desktop,Low,Moderate,Urban,High School,French,Slow,Increased,Neutral,No,10,No,2,34,70
22,Female,Teacher,3,Daily Life,Law,Bard,Often,Advanced,Desktop,Medium,Moderate,Rural,PhD,Arabic,Fast,Decreased,Neutral,Yes,6,No,2,21,85
35,Female,Researcher,1,Study,Education,Bard,Daily,Beginner,Desktop,High,High,Rural,Bachelor,Spanish,Medium,Decreased,Neutral,No,1,Yes,2,42,70
53,Male,Designer,10,Daily Life,Medicine,Notion AI,Daily,Beginner,Laptop,Medium,High,Rural,Bachelor,Arabic,Fast,Same,Positive,No,9,No,2,47,70
63,Female,Doctor,1,Daily Life,Engineering,ChatGPT,Daily,Beginner,Tablet,Medium,High,Rural,Master,Spanish,Medium,Increased,Neutral,No,7,No,2,32,70
60,Female,Researcher,9,Study,Business,Midjourney,Daily,Advanced,Desktop,High,Low,Rural,High School,Spanish,Fast,Same,Neutral,No,9,No,2,34,70
50,Male,Student,7,Shopping,Business,Copilot,Daily,Advanced,Tablet,Low,Low,Suburban,Master,Spanish,Slow,Decreased,Negative,Yes,8,No,2,20,85
61,Male,Unemployed,3,Daily Life,Law,Bard,Often,Beginner,Desktop,High,High,Urban,Master,English,Slow,Same,Positive,No,7,No,1,13,85
61,Male,Unemployed,12,Entertainment,Law,Copilot,Often,Advanced,Tablet,Medium,Moderate,Rural,Master,English,Slow,Same,Neutral,No,9,No,2,37,70
62,Female,Freelancer,5,Work,Law,Midjourney,Often,Beginner,Tablet,High,Moderate,Suburban,High School,Arabic,Medium,Same,Neutral,No,3,Yes,2,38,70
34,Female,Researcher,7,Study,Art,Copilot,Often,Intermediate,Laptop,Medium,Moderate,Suburban,Bachelor,English,Fast,Increased,Positive,No,3,Yes,2,38,70
34,Female,Unemployed,8,Shopping,Computer Science,Notion AI,Daily,Intermediate,Mobile,Medium,High,Rural,PhD,French,Fast,Same,Positive,Yes,10,No,2,31,70
38,Male,Doctor,3,Study,Business,ChatGPT,Rarely,Intermediate,Tablet,Medium,Moderate,Suburban,High School,English,Fast,Decreased,Negative,Yes,8,No,3,55,80
54,Male,Engineer,5,Health,Education,Midjourney,Sometimes,Intermediate,Desktop,Low,High,Suburban,Master,Arabic,Slow,Decreased,Neutral,Yes,2,Yes,4,72,70
56,Male,Freelancer,1,Health,Computer Science,Midjourney,Sometimes,Beginner,Laptop,Medium,High,Suburban,Bachelor,English,Fast,Increased,Positive,No,7,No,3,89,60
49,Female,Student,11,Study,Business,ChatGPT,Often,Intermediate,Laptop,Medium,High,Rural,PhD,Spanish,Slow,Same,Neutral,No,2,Yes,2,44,70
43,Female,Teacher,9,Entertainment,Engineering,Copilot,Rarely,Advanced,Desktop,Low,Moderate,Suburban,PhD,French,Slow,Same,Neutral,No,1,Yes,2,23,85
32,Male,Designer,3,Health,Engineering,Other,Rarely,Beginner,Mobile,Low,Low,Suburban,Bachelor,French,Medium,Decreased,Negative,No,4,Yes,3,89,60
26,Female,Engineer,5,Daily Life,Engineering,Notion AI,Often,Advanced,Mobile,High,High,Urban,PhD,English,Medium,Same,Negative,No,8,No,2,24,85
57,Male,Freelancer,5,Entertainment,Law,Midjourney,Sometimes,Beginner,Mobile,High,Moderate,Suburban,Bachelor,Spanish,Fast,Increased,Neutral,No,1,Yes,2,31,70
25,Male,Designer,0,Study,Medicine,Notion AI,Often,Beginner,Laptop,Low,High,Rural,Bachelor,Arabic,Fast,Increased,Negative,No,9,No,2,23,85
60,Female,Designer,0,Work,Law,Copilot,Often,Beginner,Laptop,Medium,Moderate,Urban,PhD,Arabic,Fast,Decreased,Positive,No,1,Yes,2,21,85
47,Female,Engineer,1,Shopping,Computer Science,Midjourney,Sometimes,Advanced,Desktop,Low,Moderate,Rural,Bachelor,English,Fast,Same,Negative,Yes,9,No,3,76,60
33,Female,Doctor,3,Daily Life,Education,Copilot,Daily,Advanced,Desktop,Low,High,Rural,PhD,Arabic,Fast,Increased,Neutral,No,2,Yes,2,44,70
50,Female,Doctor,4,Study,Law,Bard,Rarely,Intermediate,Laptop,Low,High,Rural,Bachelor,French,Fast,Increased,Positive,No,4,Yes,3,52,80
28,Male,Researcher,1,Work,Education,Copilot,Often,Beginner,Laptop,Low,High,Rural,PhD,Arabic,Medium,Increased,Positive,No,10,No,2,26,85
45,Female,Freelancer,8,Work,Computer Science,Bard,Rarely,Advanced,Mobile,Low,Low,Suburban,Bachelor,Spanish,Medium,Same,Neutral,No,4,Yes,2,45,70
27,Female,Doctor,7,Health,Business,Notion AI,Daily,Intermediate,Laptop,Low,Low,Rural,Bachelor,Arabic,Fast,Increased,Negative,No,10,No,4,116,50
25,Female,Doctor,0,Entertainment,Art,Copilot,Rarely,Intermediate,Mobile,Medium,Moderate,Urban,Bachelor,English,Medium,Decreased,Negative,Yes,3,Yes,3,68,60
32,Male,Doctor,3,Health,Medicine,Notion AI,Sometimes,Intermediate,Tablet,Low,High,Urban,PhD,French,Fast,Same,Negative,No,2,Yes,4,78,70
39,Female,Unemployed,6,Health,Art,Copilot,Sometimes,Intermediate,Desktop,High,High,Suburban,High School,Spanish,Medium,Decreased,Neutral,No,1,Yes,2,42,70
43,Male,Student,0,Study,Medicine,Notion AI,Rarely,Intermediate,Desktop,High,Low,Urban,High School,Spanish,Fast,Decreased,Negative,Yes,10,No,2,25,85
36,Male,Freelancer,1,Health,Computer Science,Copilot,Rarely,Advanced,Mobile,Low,Moderate,Suburban,PhD,English,Medium,Decreased,Negative,No,2,Yes,3,59,80
50,Male,Teacher,8,Work,Business,ChatGPT,Rarely,Intermediate,Mobile,High,Low,Rural,High School,French,Fast,Same,Negative,Yes,8,No,2,25,85
52,Male,Doctor,2,Health,Business,Other,Sometimes,Intermediate,Laptop,Medium,Low,Suburban,High School,Spanish,Slow,Decreased,Negative,Yes,3,Yes,4,104,50
39,Male,Designer,3,Study,Law,Copilot,Often,Advanced,Mobile,Medium,High,Suburban,High School,French,Slow,Decreased,Positive,Yes,4,Yes,2,46,70
52,Female,Unemployed,5,Shopping,Medicine,Midjourney,Rarely,Beginner,Mobile,Medium,Moderate,Rural,High School,French,Fast,Decreased,Positive,No,7,No,2,23,85
64,Male,Student,9,Shopping,Art,Notion AI,Sometimes,Intermediate,Laptop,High,Low,Rural,PhD,English,Slow,Increased,Negative,Yes,8,No,2,37,70
36,Male,Researcher,4,Entertainment,Law,Midjourney,Daily,Intermediate,Desktop,Low,Moderate,Urban,Bachelor,English,Medium,Decreased,Positive,Yes,2,Yes,2,22,85
61,Male,Student,0,Shopping,Computer Science,Other,Daily,Intermediate,Mobile,Low,Moderate,Rural,Bachelor,Spanish,Fast,Same,Negative,No,1,Yes,2,27,85
33,Female,Freelancer,5,Shopping,Business,Other,Often,Intermediate,Mobile,Low,Moderate,Urban,PhD,Arabic,Fast,Increased,Neutral,No,5,Yes,2,40,70
34,Male,Doctor,5,Entertainment,Medicine,ChatGPT,Often,Advanced,Laptop,Low,Low,Urban,Bachelor,Spanish,Medium,Same,Neutral,Yes,3,Yes,3,64,60
53,Male,Freelancer,11,Study,Computer Science,Other,Sometimes,Intermediate,Mobile,Medium,Moderate,Urban,Bachelor,Arabic,Fast,Increased,Neutral,No,8,No,2,30,85
38,Male,Researcher,9,Study,Business,Other,Sometimes,Beginner,Laptop,Low,High,Suburban,High School,French,Slow,Decreased,Positive,No,2,Yes,2,38,70
41,Female,Student,3,Study,Art,ChatGPT,Rarely,Beginner,Desktop,Medium,High,Rural,PhD,Spanish,Fast,Same,Negative,No,2,Yes,2,46,70
22,Female,Unemployed,6,Entertainment,Business,Notion AI,Daily,Advanced,Tablet,Medium,Moderate,Suburban,PhD,French,Slow,Same,Positive,Yes,6,No,2,44,70
37,Male,Doctor,6,Entertainment,Medicine,Notion AI,Often,Advanced,Mobile,High,Low,Suburban,Bachelor,English,Slow,Decreased,Neutral,No,9,No,3,44,80
21,Male,Student,9,Study,Law,ChatGPT,Daily,Intermediate,Laptop,High,Moderate,Rural,PhD,Arabic,Slow,Increased,Negative,No,4,Yes,2,48,70
37,Female,Unemployed,1,Health,Business,Notion AI,Daily,Beginner,Laptop,High,Moderate,Suburban,Bachelor,English,Fast,Same,Positive,Yes,10,No,2,30,85
51,Female,Unemployed,11,Health,Business,Notion AI,Daily,Advanced,Tablet,Low,Low,Rural,High School,Arabic,Slow,Same,Negative,Yes,6,No,2,25,85
43,Female,Freelancer,0,Shopping,Education,Notion AI,Often,Beginner,Laptop,Medium,Low,Urban,,Spanish,Fast,Increased,Positive,No,2,Yes,2,49,70
61,Female,Unemployed,5,Work,Art,Other,Often,Intermediate,Laptop,Medium,Moderate,Suburban,Master,English,Slow,Decreased,Negative,No,2,Yes,2,43,70
21,Female,Unemployed,2,Shopping,Law,Other,Often,Beginner,Mobile,Low,High,Urban,PhD,French,Medium,Increased,Neutral,No,2,Yes,2,26,85
20,Female,Freelancer,10,Entertainment,Law,Copilot,Daily,Advanced,Laptop,High,High,Rural,Bachelor,Spanish,Fast,Increased,Neutral,Yes,8,No,2,30,85
30,Female,Teacher,11,Work,Art,ChatGPT,Daily,Beginner,Tablet,Low,Low,Rural,Bachelor,Spanish,Medium,Same,Neutral,No,10,No,2,44,70
35,Male,Researcher,3,Study,Medicine,Bard,Rarely,Intermediate,Mobile,Low,Low,Rural,PhD,Spanish,Slow,Decreased,Neutral,Yes,5,Yes,2,36,70
45,Male,Researcher,2,Daily Life,Engineering,Bard,Often,Advanced,Desktop,Low,High,Urban,High School,Spanish,Fast,Decreased,Positive,Yes,9,No,2,31,70
46,Male,Doctor,3,Shopping,Education,Notion AI,Sometimes,Intermediate,Mobile,Low,Low,Rural,Bachelor,Arabic,Medium,Increased,Neutral,Yes,9,No,3,59,80
38,Female,Researcher,5,Study,Art,ChatGPT,Often,Intermediate,Mobile,Low,Low,Suburban,PhD,Arabic,Medium,Decreased,Neutral,No,9,No,2,34,70
52,Female,Engineer,2,Study,Engineering,Copilot,Sometimes,Beginner,Tablet,High,Low,Urban,PhD,Arabic,Medium,Same,Neutral,No,7,No,3,67,60
45,Female,Doctor,2,Daily Life,Art,Copilot,Sometimes,Advanced,Desktop,High,High,Urban,High School,French,Fast,Decreased,Positive,Yes,9,No,2,28,85
50,Male,Engineer,7,Daily Life,Law,Other,Daily,Advanced,Laptop,Medium,High,Urban,Master,Spanish,Slow,Same,Neutral,No,4,Yes,2,47,70
44,Male,Researcher,8,Study,Law,Bard,Rarely,Advanced,Mobile,Medium,Moderate,Rural,PhD,English,Slow,Same,Neutral,No,3,Yes,2,49,70
33,Male,Researcher,5,Study,Business,Bard,Daily,Advanced,Mobile,Low,Low,Rural,Bachelor,Arabic,Medium,Increased,Negative,No,7,No,2,32,70
46,Male,Doctor,2,Study,Engineering,ChatGPT,Daily,Advanced,Laptop,Low,High,Urban,Bachelor,French,Slow,Increased,Positive,No,8,No,3,77,60
35,Male,Teacher,7,Shopping,Education,Copilot,Sometimes,Advanced,Desktop,Low,Moderate,Urban,Master,French,Slow,Same,Negative,Yes,7,No,2,34,70
18,Female,Engineer,8,Work,Medicine,Bard,Rarely,Advanced,Mobile,Medium,Low,Rural,High School,English,Medium,Same,Positive,No,10,No,3,74,60
64,Female,Designer,9,Health,Computer Science,Midjourney,Rarely,Advanced,Mobile,Low,Moderate,Suburban,PhD,English,Medium,Increased,Negative,No,10,No,3,85,60
29,Female,Designer,7,Entertainment,Business,Notion AI,Rarely,Beginner,Mobile,High,Moderate,Suburban,Bachelor,French,Fast,Same,Negative,Yes,2,Yes,2,23,85
59,Male,Designer,0,Health,Engineering,Other,Often,Advanced,Desktop,Medium,Low,Rural,Master,Spanish,Slow,Decreased,Positive,No,2,Yes,3,74,60
21,Female,Freelancer,3,Work,Computer Science,Notion AI,Daily,Advanced,Laptop,Medium,Low,Suburban,High School,Spanish,Slow,Increased,Negative,No,7,No,2,30,85
24,Female,Student,12,Daily Life,Education,ChatGPT,Sometimes,Beginner,Laptop,High,Moderate,Rural,Master,English,Fast,Increased,Positive,No,2,Yes,1,10,85
55,Female,Designer,0,Health,Medicine,Other,Often,Intermediate,Tablet,Medium,Low,Urban,High School,French,Fast,Same,Neutral,No,9,No,3,88,60
62,Female,Designer,10,Entertainment,Medicine,Midjourney,Sometimes,Advanced,Laptop,High,High,Urban,Master,Spanish,Slow,Increased,Neutral,Yes,6,No,2,24,85
